date,scenario,installer,detail,score
2017-03-13 10:00,os-odl_l2-fdio-noha,apex,5/33,15.0
2017-03-13 10:00,os-odl_l2-fdio-ha,apex,1/33,3.0
2017-03-14 01:45,os-odl_l2-fdio-noha,apex,12/33,36.0
2017-03-14 01:45,os-odl_l2-fdio-ha,apex,1/33,3.0
2017-03-15 01:45,os-odl_l2-fdio-noha,apex,29/33,88.0
2017-03-15 01:45,os-odl_l2-fdio-ha,apex,4/33,12.0
2017-03-16 01:45,os-odl_l2-fdio-noha,apex,29/36,81.0
2017-03-16 01:45,os-odl_l2-fdio-ha,apex,13/36,36.0
2017-03-16 10:23,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-16 10:23,os-odl_l2-fdio-ha,apex,13/36,36.0
2017-03-17 01:45,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-17 01:45,os-odl_l2-fdio-ha,apex,20/36,56.0
2017-03-17 07:33,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-17 07:33,os-odl_l2-fdio-ha,apex,20/36,56.0
2017-03-17 08:49,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-17 08:49,os-nosdn-nofeature-ha,apex,9/33,27.0
2017-03-17 08:49,os-odl_l2-fdio-ha,apex,20/36,56.0
2017-03-18 01:45,os-odl-gluon-noha,apex,12/39,31.0
2017-03-18 01:45,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-18 01:45,os-odl_l3-fdio-noha,apex,15/30,50.0
2017-03-18 01:45,os-odl_l3-nofeature-ha,apex,8/33,24.0
2017-03-18 01:45,os-odl_l2-fdio-ha,apex,19/36,53.0
2017-03-18 01:45,os-odl-bgpvpn-ha,apex,11/39,28.0
2017-03-18 01:45,os-nosdn-nofeature-ha,apex,11/33,33.0
2017-03-19 01:45,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-19 01:45,os-odl_l3-fdio-noha,apex,21/30,70.0
2017-03-19 01:45,os-odl_l3-nofeature-ha,apex,15/33,45.0
2017-03-19 01:45,os-odl_l2-fdio-ha,apex,19/36,53.0
2017-03-19 01:45,os-odl-bgpvpn-ha,apex,14/39,36.0
2017-03-19 01:45,os-nosdn-kvm-ha,apex,11/33,33.0
2017-03-19 01:45,os-nosdn-nofeature-ha,apex,22/33,67.0
2017-03-19 01:45,os-odl-gluon-noha,apex,22/39,56.0
2017-03-19 01:45,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-19 01:45,os-odl_l3-fdio-noha,apex,21/30,70.0
2017-03-19 01:45,os-odl_l3-nofeature-ha,apex,15/33,45.0
2017-03-19 01:45,os-odl_l2-fdio-ha,apex,19/36,53.0
2017-03-19 01:45,os-odl-bgpvpn-ha,apex,14/39,36.0
2017-03-19 01:45,os-nosdn-kvm-ha,apex,11/33,33.0
2017-03-19 01:45,os-nosdn-nofeature-ha,apex,22/33,67.0
2017-03-20 01:45,os-odl-gluon-noha,apex,23/39,59.0
2017-03-20 01:45,os-odl_l2-fdio-noha,apex,33/36,92.0
2017-03-20 01:45,os-odl_l3-fdio-noha,apex,21/30,70.0
2017-03-20 01:45,os-odl_l3-nofeature-ha,apex,15/33,45.0
2017-03-20 01:45,os-odl_l2-fdio-ha,apex,19/36,53.0
2017-03-20 01:45,os-nosdn-fdio-ha,apex,2/30,7.0
2017-03-20 01:45,os-odl-bgpvpn-ha,apex,14/39,36.0
2017-03-20 01:45,os-nosdn-kvm-ha,apex,12/33,36.0
2017-03-20 01:45,os-nosdn-nofeature-ha,apex,22/33,67.0
2017-03-17 01:45,os-nosdn-nofeature-ha,compass,10/30,33.0
2017-03-17 07:33,os-ocl-nofeature-ha,compass,1/30,3.0
2017-03-17 07:33,os-nosdn-nofeature-ha,compass,10/30,33.0
2017-03-17 08:49,os-ocl-nofeature-ha,compass,1/30,3.0
