date,scenario,installer,detail,score
2017-10-20 01:21,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-20 01:21,os-nosdn-nofeature-ha,fuel@aarch64,23/27,85.0
2017-10-20 01:21,os-odl-nofeature-ha,fuel@aarch64,23/20,115.0
date,scenario,installer,detail,score
2017-10-20 01:21,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-20 01:21,os-nosdn-nofeature-ha,fuel@aarch64,23/27,85.0
2017-10-20 01:21,os-odl-nofeature-ha,fuel@aarch64,23/20,115.0
2017-10-20 02:32,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-20 02:32,os-nosdn-nofeature-ha,fuel@aarch64,23/27,85.0
2017-10-20 02:32,os-odl-nofeature-ha,fuel@aarch64,23/20,115.0
date,scenario,installer,detail,score
2017-09-30 10:07,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:48,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:50,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:52,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:54,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-02 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-03 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,9/30,30.0
2017-10-03 02:32,os-nosdn-nofeature-ha,fuel@aarch64,3/27,11.0
2017-10-06 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-07 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-08 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-09 06:45,os-odl_l2-nofeature-ha,fuel@aarch64,9/20,45.0
2017-10-09 06:45,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-09 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-09 09:08,os-odl_l2-nofeature-ha,fuel@aarch64,9/20,45.0
2017-10-09 09:08,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-09 09:08,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-10 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-10 02:32,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-10 02:32,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-10 06:10,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-10 06:10,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-10 06:10,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-11 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-11 02:32,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-11 02:32,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-12 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-12 02:32,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-12 02:32,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-12 02:32,os-odl-nofeature-ha,fuel@aarch64,24/30,80.0
2017-10-13 02:32,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-13 02:32,os-nosdn-nofeature-ha,fuel@aarch64,22/27,81.0
2017-10-13 02:32,os-odl-nofeature-ha,fuel@aarch64,24/30,80.0
2017-10-20 07:42,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-20 07:42,os-nosdn-nofeature-ha,fuel@aarch64,23/27,85.0
2017-10-20 07:42,os-odl-nofeature-ha,fuel@aarch64,23/20,115.0
date,scenario,installer,detail,score
2017-09-30 10:07,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:48,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:50,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:52,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-01 06:54,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-02 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,8/30,27.0
2017-10-03 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,9/30,30.0
2017-10-03 02:32,os-nosdn-nofeature-ha,fuel@aarch64,3/27,11.0
2017-10-06 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-07 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-08 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-09 06:45,os-odl_l2-nofeature-ha,fuel@aarch64,9/20,45.0
2017-10-09 06:45,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-09 06:45,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-09 09:08,os-odl_l2-nofeature-ha,fuel@aarch64,9/20,45.0
2017-10-09 09:08,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-09 09:08,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-10 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-10 02:32,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-10 02:32,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-10 06:10,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-10 06:10,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-10 06:10,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-11 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-11 02:32,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-11 02:32,os-odl-nofeature-ha,fuel@aarch64,25/30,83.0
2017-10-12 02:32,os-odl_l2-nofeature-ha,fuel@aarch64,1/10,10.0
2017-10-12 02:32,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-12 02:32,os-nosdn-nofeature-ha,fuel@aarch64,20/27,74.0
2017-10-12 02:32,os-odl-nofeature-ha,fuel@aarch64,24/30,80.0
2017-10-13 02:32,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-13 02:32,os-nosdn-nofeature-ha,fuel@aarch64,22/27,81.0
2017-10-13 02:32,os-odl-nofeature-ha,fuel@aarch64,24/30,80.0
2017-10-20 07:42,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-20 07:42,os-nosdn-nofeature-ha,fuel@aarch64,23/27,85.0
2017-10-20 08:41,os-nosdn-nofeature-noha,fuel@aarch64,1/9,11.0
2017-10-20 08:41,os-nosdn-nofeature-ha,fuel@aarch64,23/27,85.0
2017-10-20 08:41,os-odl-nofeature-ha,fuel@aarch64,23/27,85.0
