date,scenario,installer,detail,score
2017-10-20 01:21,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-20 01:21,os-odl-nofeature-ha,fuel@x86,27/30,90.0
2017-10-20 01:21,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-20 01:21,os-nosdn-nofeature-noha,fuel@x86,27/27,100.0
2017-10-20 01:21,os-nosdn-ovs-ha,fuel@x86,12/27,44.0
2017-10-20 01:21,os-nosdn-nofeature-ha,fuel@x86,15/18,83.0
date,scenario,installer,detail,score
2017-10-20 01:21,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-20 01:21,os-odl-nofeature-ha,fuel@x86,27/30,90.0
2017-10-20 01:21,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-20 01:21,os-nosdn-nofeature-noha,fuel@x86,27/27,100.0
2017-10-20 01:21,os-nosdn-ovs-ha,fuel@x86,12/27,44.0
2017-10-20 01:21,os-nosdn-nofeature-ha,fuel@x86,15/18,83.0
2017-10-20 02:32,os-nosdn-ovs-noha,fuel@x86,25/27,93.0
2017-10-20 02:32,os-odl-nofeature-ha,fuel@x86,27/30,90.0
2017-10-20 02:32,os-odl-nofeature-noha,fuel@x86,30/30,100.0
2017-10-20 02:32,os-nosdn-nofeature-noha,fuel@x86,27/27,100.0
2017-10-20 02:32,os-nosdn-ovs-ha,fuel@x86,12/27,44.0
2017-10-20 02:32,os-nosdn-nofeature-ha,fuel@x86,15/18,83.0
date,scenario,installer,detail,score
2017-09-25 07:27,os-odl-nofeature-noha,fuel@x86,14/30,47.0
2017-09-25 07:27,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-25 07:27,os-nosdn-ovs-noha,fuel@x86,14/27,52.0
2017-09-26 13:13,os-odl-nofeature-noha,fuel@x86,14/30,47.0
2017-09-26 13:13,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-26 13:13,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-28 06:03,os-odl-nofeature-noha,fuel@x86,20/30,67.0
2017-09-28 06:03,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-28 06:03,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-28 06:03,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-09-29 06:33,os-odl-nofeature-noha,fuel@x86,20/30,67.0
2017-09-29 06:33,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-29 06:33,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-29 06:33,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-09-29 09:47,os-odl-nofeature-noha,fuel@x86,20/30,67.0
2017-09-29 09:47,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-29 09:47,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-29 09:47,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-09-30 10:07,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-09-30 10:07,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-09-30 10:07,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-30 10:07,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:48,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:48,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:48,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:48,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:50,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:50,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:50,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:50,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:52,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:52,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:52,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:45,os-nosdn-ovs-ha,fuel@x86,9/18,56
2017-10-01 06:52,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:54,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:54,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:54,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:54,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-03 06:45,os-nosdn-ovs-ha,fuel@x86,9/18,56
2017-10-02 02:32,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-02 02:32,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-02 02:32,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-02 02:32,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-03 02:32,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-03 02:32,os-nosdn-nofeature-noha,fuel@x86,14/27,52.0
2017-10-03 02:32,os-nosdn-nofeature-ha,fuel@x86,3/27,11.0
2017-10-03 02:32,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-03 02:32,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-03 06:45,os-nosdn-ovs-ha,fuel@x86,15/27,56
2017-10-09 06:45,os-nosdn-ovs-noha,fuel@x86,23/27,85.0
2017-10-09 06:45,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-09 06:45,os-odl-nofeature-noha,fuel@x86,23/30,77.0
2017-10-09 06:45,os-nosdn-nofeature-noha,fuel@x86,22/27,81.0
2017-10-09 06:45,os-nosdn-ovs-ha,fuel@x86,16/27,59.0
2017-10-09 06:45,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-09 09:08,os-nosdn-ovs-noha,fuel@x86,23/27,85.0
2017-10-09 09:08,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-09 09:08,os-odl-nofeature-noha,fuel@x86,23/30,77.0
2017-10-09 09:08,os-nosdn-nofeature-noha,fuel@x86,22/27,81.0
2017-10-09 09:08,os-nosdn-ovs-ha,fuel@x86,16/27,59.0
2017-10-09 09:08,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-10 02:32,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-10 02:32,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-10 02:32,os-odl-nofeature-noha,fuel@x86,24/30,80.0
2017-10-10 02:32,os-nosdn-nofeature-noha,fuel@x86,23/27,85.0
2017-10-10 02:32,os-nosdn-ovs-ha,fuel@x86,17/27,63.0
2017-10-10 02:32,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-10 06:10,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-10 06:10,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-10 06:10,os-odl-nofeature-noha,fuel@x86,24/30,80.0
2017-10-10 06:10,os-nosdn-nofeature-noha,fuel@x86,23/27,85.0
2017-10-10 06:10,os-nosdn-ovs-ha,fuel@x86,17/27,63.0
2017-10-10 06:10,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-11 02:32,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-11 02:32,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-11 02:32,os-odl-nofeature-noha,fuel@x86,26/30,87.0
2017-10-11 02:32,os-nosdn-nofeature-noha,fuel@x86,22/27,81.0
2017-10-11 02:32,os-nosdn-ovs-ha,fuel@x86,17/27,63.0
2017-10-11 02:32,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-12 02:32,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-12 02:32,os-odl-nofeature-ha,fuel@x86,24/30,80.0
2017-10-12 02:32,os-odl-nofeature-noha,fuel@x86,25/30,83.0
2017-10-12 02:32,os-nosdn-nofeature-noha,fuel@x86,21/27,78.0
2017-10-12 02:32,os-nosdn-ovs-ha,fuel@x86,23/27,85.0
2017-10-12 02:32,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-13 02:32,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-13 02:32,os-odl-nofeature-ha,fuel@x86,24/30,80.0
2017-10-13 02:32,os-odl-nofeature-noha,fuel@x86,25/30,83.0
2017-10-13 02:32,os-nosdn-nofeature-noha,fuel@x86,21/27,78.0
2017-10-13 02:32,os-nosdn-ovs-ha,fuel@x86,23/27,85.0
2017-10-13 02:32,os-nosdn-nofeature-ha,fuel@x86,22/18,122.0
2017-10-20 07:42,os-nosdn-ovs-noha,fuel@x86,25/27,93.0
2017-10-20 07:42,os-odl-nofeature-ha,fuel@x86,29/30,97.0
2017-10-20 07:42,os-odl-nofeature-noha,fuel@x86,30/30,100.0
2017-10-20 07:42,os-nosdn-nofeature-noha,fuel@x86,27/27,100.0
2017-10-20 07:42,os-nosdn-ovs-ha,fuel@x86,12/27,44.0
2017-10-20 07:42,os-nosdn-nofeature-ha,fuel@x86,15/18,83.0
date,scenario,installer,detail,score
2017-09-25 07:27,os-odl-nofeature-noha,fuel@x86,14/30,47.0
2017-09-25 07:27,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-25 07:27,os-nosdn-ovs-noha,fuel@x86,14/27,52.0
2017-09-26 13:13,os-odl-nofeature-noha,fuel@x86,14/30,47.0
2017-09-26 13:13,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-26 13:13,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-28 06:03,os-odl-nofeature-noha,fuel@x86,20/30,67.0
2017-09-28 06:03,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-28 06:03,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-28 06:03,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-09-29 06:33,os-odl-nofeature-noha,fuel@x86,20/30,67.0
2017-09-29 06:33,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-29 06:33,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-29 06:33,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-09-29 09:47,os-odl-nofeature-noha,fuel@x86,20/30,67.0
2017-09-29 09:47,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-29 09:47,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-29 09:47,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-09-30 10:07,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-09-30 10:07,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-09-30 10:07,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-30 10:07,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:48,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:48,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:48,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:48,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:50,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:50,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:50,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:50,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:52,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:52,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:52,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:45,os-nosdn-ovs-ha,fuel@x86,9/18,56
2017-10-01 06:52,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-01 06:54,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-01 06:54,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-01 06:54,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-01 06:54,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-03 06:45,os-nosdn-ovs-ha,fuel@x86,9/18,56
2017-10-02 02:32,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-02 02:32,os-nosdn-nofeature-noha,fuel@x86,13/27,48.0
2017-10-02 02:32,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-02 02:32,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-03 02:32,os-odl-nofeature-noha,fuel@x86,21/30,70.0
2017-10-03 02:32,os-nosdn-nofeature-noha,fuel@x86,14/27,52.0
2017-10-03 02:32,os-nosdn-nofeature-ha,fuel@x86,3/27,11.0
2017-10-03 02:32,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-10-03 02:32,os-odl-nofeature-ha,fuel@x86,8/30,27.0
2017-10-03 06:45,os-nosdn-ovs-ha,fuel@x86,15/27,56
2017-10-09 06:45,os-nosdn-ovs-noha,fuel@x86,23/27,85.0
2017-10-09 06:45,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-09 06:45,os-odl-nofeature-noha,fuel@x86,23/30,77.0
2017-10-09 06:45,os-nosdn-nofeature-noha,fuel@x86,22/27,81.0
2017-10-09 06:45,os-nosdn-ovs-ha,fuel@x86,16/27,59.0
2017-10-09 06:45,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-09 09:08,os-nosdn-ovs-noha,fuel@x86,23/27,85.0
2017-10-09 09:08,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-09 09:08,os-odl-nofeature-noha,fuel@x86,23/30,77.0
2017-10-09 09:08,os-nosdn-nofeature-noha,fuel@x86,22/27,81.0
2017-10-09 09:08,os-nosdn-ovs-ha,fuel@x86,16/27,59.0
2017-10-09 09:08,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-10 02:32,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-10 02:32,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-10 02:32,os-odl-nofeature-noha,fuel@x86,24/30,80.0
2017-10-10 02:32,os-nosdn-nofeature-noha,fuel@x86,23/27,85.0
2017-10-10 02:32,os-nosdn-ovs-ha,fuel@x86,17/27,63.0
2017-10-10 02:32,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-10 06:10,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-10 06:10,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-10 06:10,os-odl-nofeature-noha,fuel@x86,24/30,80.0
2017-10-10 06:10,os-nosdn-nofeature-noha,fuel@x86,23/27,85.0
2017-10-10 06:10,os-nosdn-ovs-ha,fuel@x86,17/27,63.0
2017-10-10 06:10,os-nosdn-nofeature-ha,fuel@x86,20/27,74.0
2017-10-11 02:32,os-nosdn-ovs-noha,fuel@x86,24/27,89.0
2017-10-11 02:32,os-odl-nofeature-ha,fuel@x86,25/30,83.0
2017-10-11 02:32,os-odl-nofeature-noha,fuel@x86,26/30,87.0
