date,scenario,installer,detail,score
2017-10-20 01:21,os-ocl-nofeature-noha,joid,3/27,11.0
2017-10-20 01:21,os-ocl-nofeature-ha,joid,3/27,11.0
2017-10-20 01:21,os-nosdn-nofeature-noha,joid,15/27,56.0
2017-10-20 01:21,os-nosdn-openbaton-ha,joid,5/18,28.0
2017-10-20 01:21,os-nosdn-lxd-ha,joid,2/15,13.0
2017-10-20 01:21,os-nosdn-lxd-noha,joid,3/15,20.0
2017-10-20 01:21,os-nosdn-nofeature-ha,joid,10/18,56.0
date,scenario,installer,detail,score
2017-10-20 01:21,os-ocl-nofeature-noha,joid,3/27,11.0
2017-10-20 01:21,os-ocl-nofeature-ha,joid,3/27,11.0
2017-10-20 01:21,os-nosdn-nofeature-noha,joid,15/27,56.0
2017-10-20 01:21,os-nosdn-openbaton-ha,joid,5/18,28.0
2017-10-20 01:21,os-nosdn-lxd-ha,joid,2/15,13.0
2017-10-20 01:21,os-nosdn-lxd-noha,joid,3/15,20.0
2017-10-20 01:21,os-nosdn-nofeature-ha,joid,10/18,56.0
2017-10-20 02:32,os-ocl-nofeature-noha,joid,3/27,11.0
2017-10-20 02:32,os-ocl-nofeature-ha,joid,3/27,11.0
2017-10-20 02:32,os-nosdn-nofeature-noha,joid,15/27,56.0
2017-10-20 02:32,os-nosdn-openbaton-ha,joid,5/18,28.0
2017-10-20 02:32,os-nosdn-lxd-ha,joid,2/15,13.0
2017-10-20 02:32,os-nosdn-lxd-noha,joid,3/15,20.0
2017-10-20 02:32,os-nosdn-nofeature-ha,joid,10/18,56.0
date,scenario,installer,detail,score
2017-09-28 06:03,os-ocl-nofeature-ha,joid,1/27,4.0
2017-09-28 06:03,os-nosdn-lxd-noha,joid,1/15,7.0
2017-09-28 06:03,os-ocl-nofeature-noha,joid,1/27,4.0
2017-09-28 06:03,os-nosdn-nofeature-ha,joid,5/27,19.0
2017-09-28 06:03,os-nosdn-nofeature-noha,joid,4/27,15.0
