date,scenario,installer,detail,score
2017-09-25 07:27,os-odl-nofeature-ha,apex,5/30,17.0
2017-09-25 07:27,os-ovn-nofeature-noha,apex,5/27,19.0
2017-09-25 07:27,os-odl-bgpvpn-ha,apex,5/27,19.0
2017-09-25 07:27,os-odl-nofeature-noha,apex,6/30,20.0
2017-09-25 07:27,os-nosdn-nofeature-noha,apex,8/27,30.0
2017-09-25 07:27,os-nosdn-nofeature-ha,apex,8/27,30.0
2017-09-25 07:27,os-odl-nofeature-noha,fuel@x86,14/30,47.0
2017-09-25 07:27,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-25 07:27,os-nosdn-ovs-noha,fuel@x86,14/27,52.0
2017-09-26 13:13,os-nosdn-fdio-noha,apex,3/27,11.0
2017-09-26 13:13,os-odl-sfc-noha,apex,4/30,13.0
2017-09-26 13:13,os-odl-fdio-dvr-ha,apex,4/33,12.0
2017-09-26 13:13,os-odl-fdio-dvr-noha,apex,4/33,12.0
2017-09-26 13:13,os-ovn-nofeature-noha,apex,5/27,19.0
2017-09-26 13:13,os-odl-bgpvpn-ha,apex,5/27,19.0
2017-09-26 13:13,os-odl-nofeature-noha,apex,6/30,20.0
2017-09-26 13:13,os-nosdn-nofeature-noha,apex,8/27,30.0
2017-09-26 13:13,os-odl-nofeature-ha,apex,5/30,17.0
2017-09-26 13:13,os-nosdn-nofeature-ha,apex,8/27,30.0
2017-09-26 13:13,os-nosdn-nofeature-ha,daisy,9/27,33.0
2017-09-26 13:13,os-odl-nofeature-noha,fuel@x86,14/30,47.0
2017-09-26 13:13,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-26 13:13,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-28 06:03,os-nosdn-fdio-noha,apex,3/27,11.0
2017-09-28 06:03,os-odl-sfc-noha,apex,4/30,13.0
2017-09-28 06:03,os-odl-fdio-dvr-ha,apex,4/33,12.0
2017-09-28 06:03,os-odl-fdio-dvr-noha,apex,4/33,12.0
2017-09-28 06:03,os-ovn-nofeature-noha,apex,5/27,19.0
2017-09-28 06:03,os-odl-bgpvpn-ha,apex,5/27,19.0
2017-09-28 06:03,os-odl-nofeature-noha,apex,6/30,20.0
2017-09-28 06:03,os-nosdn-nofeature-noha,apex,16/27,59.0
2017-09-28 06:03,os-odl-nofeature-ha,apex,10/30,33.0
2017-09-28 06:03,os-nosdn-nofeature-ha,apex,16/27,59.0
2017-09-28 06:03,os-nosdn-nofeature-ha,daisy,26/27,96.0
2017-09-28 06:03,os-odl-nofeature-ha,daisy,25/30,83.0
2017-09-28 06:03,os-odl-nofeature-noha,fuel@x86,20/30,67.0
2017-09-28 06:03,os-nosdn-nofeature-noha,fuel@x86,12/27,44.0
2017-09-28 06:03,os-nosdn-ovs-noha,fuel@x86,21/27,78.0
2017-09-28 06:03,os-odl-nofeature-ha,fuel@x86,8/30,27.0
